image,caption
IMG_0225.JPG,The student is sitting on the chair.
IMG_0225.JPG,A man is playing ? the  computer.
IMG_0225.JPG,A student is programming  on the computer. 
IMG_0225.JPG,A student is working on ? computer .
IMG_0225.JPG,A man is sitting near the monitor .
IMG_0226.JPG,Two men are standing near the table .
IMG_0226.JPG,Two men are working near the table.
IMG_0226.JPG,Two men are standing in the lab-room.
IMG_0226.JPG,Two student are standing infrontof the table.
IMG_0226.JPG,? Students are working in the room.
IMG_0229.JPG,A man is walking in the room.
IMG_0229.JPG,A man is walking on the floor .
IMG_0229.JPG,A man is coming to the room.
IMG_0229.JPG,The people are sitting on the chair
IMG_0229.JPG,The people are reading ? the book.
IMG_0230.JPG,A man is sitting on the chair .
IMG_0230.JPG,A man is sitting behind the table .
IMG_0230.JPG,The wire are ? on the table.
IMG_0230.JPG,The table is ? infrontof the man.
IMG_0230.JPG,A man is sitting in the room.
IMG_0231.JPG,A man is sitting on the chair .
IMG_0231.JPG,A man is sitting in the room .
IMG_0231.JPG,A man is rise ? the hand.
IMG_0231.JPG,A man is pointing at ? airconditioner .
IMG_0231.JPG,The man is sitting near the table.
IMG_0232.JPG,A man is working on the computer .
IMG_0232.JPG,A man is sitting infrontof the computer .
IMG_0232.JPG,The computer is place infrontof the man.
IMG_0232.JPG,The laptop is place on the table.
IMG_0232.JPG,A man is working on the computer .
IMG_0233.JPG,A man is wearing ? the earphone .
IMG_0233.JPG,A man is sitting on the chair .
IMG_0233.JPG,A man is cutting ? the model .
IMG_0233.JPG,A man is sitting in the room.
IMG_0233.JPG,The student is working near the table.
IMG_0235.JPG,The laptop is place on the table.
IMG_0235.JPG,The student is working on the laptop.
IMG_0235.JPG,The laptop is used by the student.
IMG_0235.JPG,The laptop is place in the lab-room.
IMG_0235.JPG,The student is use ? the laptop.
192442_0.jpg,Three students are studying on the classroom
192442_0.jpg,? students are discussing ? ? ?
192442_0.jpg,? students are talking in ? Classroom
192442_0.jpg,Three students are working ? the project
192442_0.jpg,? students are sitting on the table
IMG_0386.JPG,Three men are playing ? ? boardgame
IMG_0386.JPG,? students are enjoy with ? boardgame
IMG_0386.JPG,One man is standing near the table 
IMG_0386.JPG,Two men are sitting near ? boardgame
IMG_0386.JPG,? Students are playing in the classroom
IMG_0257.JPG,A man is standing ? ? ?
IMG_0257.JPG,A man is  collecting ? the laptop
IMG_0257.JPG,Two men are ? on the room
IMG_0257.JPG,A man is standing on the ground
IMG_0257.JPG,A man is holding ? the laptop
IMG_25660920_150148.jpg,Many students are talking ? ? ?
IMG_25660920_150148.jpg,? Students are sitting around the table
IMG_25660920_150148.jpg,? Students are discussing at the classroom
IMG_25660920_150148.jpg,The bag is full on the table
IMG_25660920_150148.jpg,? students are studing in the class
line_1.jpg,A man is standing on the ground
line_1.jpg,A man is walking ? ? ?
line_1.jpg,The student is standing at the university
line_1.jpg,Many students are sitting behind a man
line_1.jpg,A student is walking to the classroom
